d       s       a       m_i   
133     10      274     1 3 1 13 21 39 125 211 439 723 
134     10      283     1 1 7 3 17 63 115 89 49 773 
135     10      289     1 3 7 13 11 33 101 107 63 73 
136     10      295     1 1 5 5 13 57 63 135 437 177 
137     10      301     1 1 3 7 27 63 93 47 417 483 
138     10      316     1 1 3 1 23 29 1 191 49 23 
139     10      319     1 1 3 15 25 55 9 101 219 607 
140     10      324     1 3 1 7 7 19 51 251 393 307 
141     10      346     1 3 3 3 25 55 17 75 337 3 
142     10      352     1 1 1 13 25 17 65 45 479 413 
143     10      361     1 1 7 7 27 49 99 161 213 727 
144     10      367     1 3 5 1 23 5 43 41 251 857 
145     10      382     1 3 3 7 11 61 39 87 383 835 
146     10      395     1 1 3 15 13 7 29 7 505 923 
147     10      398     1 3 7 1 5 31 47 157 445 501 
148     10      400     1 1 3 7 1 43 9 147 115 605 
149     10      412     1 3 3 13 5 1 119 211 455 1001 
150     10      419     1 1 3 5 13 19 3 243 75 843 
151     10      422     1 3 7 7 1 19 91 249 357 589 
152     10      426     1 1 1 9 1 25 109 197 279 411 
153     10      428     1 3 1 15 23 57 59 135 191 75 
154     10      433     1 1 5 15 29 21 39 253 383 349 
155     10      446     1 3 3 5 19 45 61 151 199 981 
156     10      454     1 3 5 13 9 61 107 141 141 1 
157     10      457     1 3 1 11 27 25 85 105 309 979 
158     10      472     1 3 3 11 19 7 115 223 349 43 
159     10      493     1 1 7 9 21 39 123 21 275 927 
160     10      505     1 1 7 13 15 41 47 243 303 437 
161     10      508     1 1 1 7 7 3 15 99 409 719 
162     11      2       1 3 3 15 27 49 113 123 113 67 469 
163     11      11      1 3 7 11 3 23 87 169 119 483 199 
164     11      21      1 1 5 15 7 17 109 229 179 213 741 
165     11      22      1 1 5 13 11 17 25 135 403 557 1433 
166     11      35      1 3 1 1 1 61 67 215 189 945 1243 
167     11      49      1 1 7 13 17 33 9 221 429 217 1679 
168     11      50      1 1 3 11 27 3 15 93 93 865 1049 
169     11      56      1 3 7 7 25 41 121 35 373 379 1547 
170     11      61      1 3 3 9 11 35 45 205 241 9 59 
171     11      70      1 3 1 7 3 51 7 177 53 975 89 
172     11      74      1 1 3 5 27 1 113 231 299 759 861 
173     11      79      1 3 3 15 25 29 5 255 139 891 2031 
174     11      84      1 3 1 1 13 9 109 193 419 95 17 
175     11      88      1 1 7 9 3 7 29 41 135 839 867 
176     11      103     1 1 7 9 25 49 123 217 113 909 215 
177     11      104     1 1 7 3 23 15 43 133 217 327 901 
178     11      112     1 1 3 3 13 53 63 123 477 711 1387 
179     11      115     1 1 3 15 7 29 75 119 181 957 247 
180     11      117     1 1 1 11 27 25 109 151 267 99 1461 
181     11      122     1 3 7 15 5 5 53 145 11 725 1501 
182     11      134     1 3 7 1 9 43 71 229 157 607 1835 
183     11      137     1 3 3 13 25 1 5 27 471 349 127 
184     11      146     1 1 1 1 23 37 9 221 269 897 1685 
185     11      148     1 1 3 3 31 29 51 19 311 553 1969 
186     11      157     1 3 7 5 5 55 17 39 475 671 1529 
187     11      158     1 1 7 1 1 35 47 27 437 395 1635 
188     11      162     1 1 7 3 13 23 43 135 327 139 389 
189     11      164     1 3 7 3 9 25 91 25 429 219 513 
190     11      168     1 1 3 5 13 29 119 201 277 157 2043 
191     11      173     1 3 5 3 29 57 13 17 167 739 1031 
192     11      185     1 3 3 5 29 21 95 27 255 679 1531 
193     11      186     1 3 7 15 9 5 21 71 61 961 1201 
194     11      191     1 3 5 13 15 57 33 93 459 867 223 
195     11      193     1 1 1 15 17 43 127 191 67 177 1073 
196     11      199     1 1 1 15 23 7 21 199 75 293 1611 
197     11      213     1 3 7 13 15 39 21 149 65 741 319 
198     11      214     1 3 7 11 23 13 101 89 277 519 711 
199     11      220     1 3 7 15 19 27 85 203 441 97 1895 
200     11      227     1 3 1 3 29 25 21 155 11 191 197 
201     11      236     1 1 7 5 27 11 81 101 457 675 1687 
202     11      242     1 3 1 5 25 5 65 193 41 567 781 
203     11      251     1 3 1 5 11 15 113 77 411 695 1111 
204     11      256     1 1 3 9 11 53 119 171 55 297 509 
205     11      259     1 1 1 1 11 39 113 139 165 347 595 
206     11      265     1 3 7 11 9 17 101 13 81 325 1733 
207     11      266     1 3 1 1 21 43 115 9 113 907 645 
208     11      276     1 1 7 3 9 25 117 197 159 471 475 
209     11      292     1 3 1 9 11 21 57 207 485 613 1661 
210     11      304     1 1 7 7 27 55 49 223 89 85 1523 
211     11      310     1 1 5 3 19 41 45 51 447 299 1355 
212     11      316     1 3 1 13 1 33 117 143 313 187 1073 
213     11      319     1 1 7 7 5 11 65 97 377 377 1501 
214     11      322     1 3 1 1 21 35 95 65 99 23 1239 
215     11      328     1 1 5 9 3 37 95 167 115 425 867 
216     11      334     1 3 3 13 1 37 27 189 81 679 773 
217     11      339     1 1 3 11 1 61 99 233 429 969 49 
218     11      341     1 1 1 7 25 63 99 165 245 793 1143 
219     11      345     1 1 5 11 11 43 55 65 71 283 273 
220     11      346     1 1 5 5 9 3 101 251 355 379 1611 
221     11      362     1 1 1 15 21 63 85 99 49 749 1335 
222     11      367     1 1 5 13 27 9 121 43 255 715 289 
223     11      372     1 3 1 5 27 19 17 223 77 571 1415 
224     11      375     1 1 5 3 13 59 125 251 195 551 1737 
225     11      376     1 3 3 15 13 27 49 105 389 971 755 
226     11      381     1 3 5 15 23 43 35 107 447 763 253 
227     11      385     1 3 5 11 21 3 17 39 497 407 611 
228     11      388     1 1 7 13 15 31 113 17 23 507 1995 
229     11      392     1 1 7 15 3 15 31 153 423 79 503 
230     11      409     1 1 7 9 19 25 23 171 505 923 1989 
231     11      415     1 1 5 9 21 27 121 223 133 87 697 
232     11      416     1 1 5 5 9 19 107 99 319 765 1461 
233     11      421     1 1 3 3 19 25 3 101 171 729 187 
234     11      428     1 1 3 1 13 23 85 93 291 209 37 
235     11      431     1 1 1 15 25 25 77 253 333 947 1073 
236     11      434     1 1 3 9 17 29 55 47 255 305 2037 
237     11      439     1 3 3 9 29 63 9 103 489 939 1523 
238     11      446     1 3 7 15 7 31 89 175 369 339 595 
239     11      451     1 3 7 13 25 5 71 207 251 367 665 
240     11      453     1 3 3 3 21 25 75 35 31 321 1603 
241     11      457     1 1 1 9 11 1 65 5 11 329 535 
242     11      458     1 1 5 3 19 13 17 43 379 485 383 
243     11      471     1 3 5 13 13 9 85 147 489 787 1133 
244     11      475     1 3 1 1 5 51 37 129 195 297 1783 
245     11      478     1 1 3 15 19 57 59 181 455 697 2033 
246     11      484     1 3 7 1 27 9 65 145 325 189 201 
247     11      493     1 3 1 15 31 23 19 5 485 581 539 
248     11      494     1 1 7 13 11 15 65 83 185 847 831 
249     11      499     1 3 5 7 7 55 73 15 303 511 1905 
250     11      502     1 3 5 9 7 21 45 15 397 385 597 
251     11      517     1 3 7 3 23 13 73 221 511 883 1265 
252     11      518     1 1 3 11 1 51 73 185 33 975 1441 
253     11      524     1 3 3 9 19 59 21 39 339 37 143 
254     11      527     1 1 7 1 31 33 19 167 117 635 639 
255     11      555     1 1 1 3 5 13 59 83 355 349 1967 
256     11      560     1 1 1 5 19 3 53 133 97 863 983 
